x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-108.375,28.375,0,0.6339126825332642,0.028721367940306664,2.0838816165924072,2.769886016845703,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-108.125,28.375,20,1.0440232753753662,-0.4733545482158661,1.9607038497924805,2.3232007026672363,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.875,28.375,10,1.4161648750305176,1.1672086715698242,2.5886757373809814,3.1499221324920654,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.625,28.375,0,2.311141014099121,1.2927955389022827,2.211095094680786,1.564467191696167,Primary,Primary,Primary,Primary,Mexico Northeast,Hotspot,NA,Hotspot
-107.375,28.375,1,2.3775198459625244,1.4438555240631104,1.736906886100769,-0.06573501229286194,Primary,Primary,Primary,Primary,Mexico Northeast,Hotspot,NA,NA
-107.125,28.375,1,2.1850686073303223,2.1976191997528076,1.0424519777297974,-0.6270801424980164,Primary,Primary,Human use,Human use,Mexico Northeast,Hotspot,Hotspot,NA
-106.875,28.375,21,2.575608253479004,1.0006136894226074,-0.9669390320777893,-1.7384840250015259,Human use,Human use,Human use,Human use,Mexico Northeast,Hotspot,NA,NA
-106.625,28.375,20,NA,2.8672726154327393,0.025449693202972412,-1.5059205293655396,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-106.375,28.375,20,NA,2.9514129161834717,0.057705193758010864,0.00943107157945633,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-106.125,28.375,20,NA,3.174727439880371,-1.0477850437164307,-0.8316637277603149,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.875,28.375,20,NA,3.3196229934692383,-1.1577092409133911,-0.4369085431098938,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.625,28.375,20,NA,3.2186386585235596,-1.6865044832229614,-0.1703832596540451,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.375,28.375,20,0.10118831694126129,3.147326946258545,-1.2343411445617676,0.47253504395484924,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.125,28.375,20,NA,4.918514728546143,-0.7664766311645508,1.3123114109039307,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.875,28.375,20,NA,4.0611467361450195,0.10162008553743362,2.2524611949920654,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.625,28.375,20,NA,3.7241199016571045,-0.2354128360748291,1.5744025707244873,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.375,28.375,20,1.2767640352249146,6.8318257331848145,0.896999716758728,1.4368382692337036,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.125,28.375,20,1.0536381006240845,6.570815563201904,0.4698975384235382,1.4687978029251099,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.875,28.375,20,NA,4.441596031188965,0.43287229537963867,2.424166679382324,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.625,28.375,20,0.9881136417388916,5.420822620391846,0.8248648047447205,1.537952184677124,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.375,28.375,20,0.6929641366004944,4.132805824279785,-0.37440842390060425,1.750788688659668,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.125,28.375,20,-0.09453713148832321,3.869753837585449,0.5125390291213989,2.400416612625122,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-102.875,28.375,20,0.3001038730144501,4.037937641143799,0.8675528764724731,2.3725500106811523,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-102.625,28.375,20,NA,2.52066969871521,1.431422472000122,2.2632973194122314,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-102.375,28.375,20,0.19224657118320465,4.372793674468994,2.2050323486328125,2.9516165256500244,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Hotspot
